Time, Position, Rotation
17:58:54:693,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
17:58:55:696,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
17:58:56:697,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
17:58:57:704,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
17:58:58:71,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
17:58:59:71,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
17:59:00:711,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
17:59:01:714,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
17:59:02:718,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
17:59:03:724,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
17:59:04:726,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
17:59:05:732,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
17:59:06:738,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
