Time, Position, Rotation
17:59:42:143,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
17:59:43:146,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
17:59:44:153,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
17:59:45:155,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
17:59:46:157,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
17:59:47:16,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
17:59:48:163,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
17:59:49:164,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
17:59:50:166,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
17:59:51:169,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
17:59:52:172,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
17:59:53:177,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
17:59:54:232,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
