Time, Position, Rotation
11:47:21:836,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
11:47:22:839,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
11:47:23:844,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
11:47:24:849,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
11:47:25:855,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
11:47:26:856,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
11:47:27:867,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
11:47:28:872,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
11:47:29:877,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
11:47:30:881,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
11:47:31:886,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
11:47:32:892,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
