Time, Position, Rotation
11:41:46:553,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
11:41:47:555,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
11:41:48:559,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
11:41:49:562,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
11:41:50:562,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
11:41:51:562,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
11:41:52:569,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
11:41:53:569,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
11:41:54:574,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
11:41:55:574,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
11:41:56:575,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
11:41:57:578,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
11:41:58:582,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
11:41:59:586,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
11:42:00:587,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
11:42:01:592,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
